source,target,weight
4.5 W,270 W,1
4.5 W,150 W,3
4.5 W,31 W,1
4.5 W,47 W,2
4.5 W,3.3 W,1
4.5 W,20 W,3
4.5 W,8.5 W,1
4.5 W,1.4 W,1
4.5 W,38 W,1
4.5 W,72 W,1
4.5 W,6 W,2
4.5 W,91 W,1
4.5 W,125 W,1
4.5 W,0.65 W,1
4.5 W,35 W,3
4.5 W,173 W,1
4.5 W,95 W,3
4.5 W,260 W,1
4.5 W,245 W,2
4.5 W,19 W,1
4.5 W,75 W,2
4.5 W,70 W,2
4.5 W,85 W,3
4.5 W,4 W,2
4.5 W,112 W,1
4.5 W,90 W,3
4.5 W,15 W,2
4.5 W,2.5 W,1
4.5 W,55 W,3
4.5 W,3.6 W,1
4.5 W,69 W,1
4.5 W,24 W,1
4.5 W,12 W,2
4.5 W,6.5 W,2
4.5 W,140 W,2
4.5 W,73 W,1
4.5 W,205 W,1
4.5 W,23 W,1
4.5 W,80 W,3
4.5 W,40 W,2
4.5 W,105 W,3
4.5 W,7 W,2
4.5 W,1.3 W,1
4.5 W,65 W,3
4.5 W,21.5 W,1
4.5 W,60 W,3
4.5 W,300 W,1
4.5 W,28 W,3
4.5 W,79 W,1
4.5 W,51 W,1
4.5 W,200 W,1
4.5 W,5.5 W,1
4.5 W,52 W,1
4.5 W,50 W,3
4.5 W,135 W,2
4.5 W,54 W,2
4.5 W,2.4 W,1
4.5 W,5 W,2
4.5 W,18 W,1
4.5 W,43 W,1
4.5 W,2.2 W,1
4.5 W,155 W,1
4.5 W,7.5 W,1
4.5 W,8 W,2
4.5 W,27 W,1
4.5 W,120 W,3
4.5 W,77 W,1
4.5 W,21 W,1
4.5 W,57 W,1
4.5 W,53 W,1
4.5 W,32 W,1
4.5 W,84 W,1
4.5 W,160 W,2
4.5 W,115 W,2
4.5 W,48 W,1
4.5 W,10 W,3
4.5 W,45 W,3
4.5 W,145 W,2
4.5 W,225 W,1
4.5 W,16 W,1
4.5 W,88 W,1
4.5 W,13 W,2
4.5 W,9 W,2
4.5 W,37 W,1
4.5 W,87 W,1
4.5 W,165 W,2
4.5 W,3 W,2
4.5 W,230 W,1
4.5 W,82 W,2
4.5 W,215 W,1
4.5 W,44 W,1
4.5 W,2 W,1
4.5 W,14 W,1
4.5 W,9.5 W,2
4.5 W,11.5 W,2
4.5 W,25 W,3
4.5 W,4.3 W,1
4.5 W,136 W,1
4.5 W,17 W,3
4.5 W,130 W,3
4.5 W,30 W,1
15 W,270 W,1
15 W,150 W,3
15 W,56 W,1
15 W,25.4 W,1
15 W,19.5 W,1
15 W,27.5 W,1
15 W,22.5 W,1
15 W,18.3 W,1
15 W,57.8 W,1
15 W,91 W,1
15 W,125 W,1
15 W,95 W,3
15 W,260 W,1
15 W,20.8 W,1
15 W,19 W,2
15 W,70 W,2
15 W,17.6 W,1
15 W,4 W,1
15 W,65.8 W,1
15 W,90 W,2
15 W,29 W,1
15 W,55 W,2
15 W,69.2 W,1
15 W,69 W,1
15 W,66.7 W,1
15 W,80 W,3
15 W,26.7 W,1
15 W,40 W,2
15 W,105 W,3
15 W,7 W,1
15 W,16.5 W,1
15 W,60 W,2
15 W,300 W,1
15 W,23.3 W,1
15 W,21.3 W,1
15 W,51 W,1
15 W,200 W,1
15 W,26.1 W,1
15 W,19.2 W,1
15 W,5.5 W,1
15 W,29.6 W,1
15 W,135 W,2
15 W,54 W,2
15 W,18.8 W,1
15 W,5 W,2
15 W,22.8 W,1
15 W,18 W,1
15 W,43 W,1
15 W,155 W,2
15 W,120 W,3
15 W,77 W,1
15 W,57 W,1
15 W,84 W,1
15 W,160 W,2
15 W,115 W,2
15 W,71.8 W,1
15 W,10 W,3
15 W,45 W,2
15 W,61 W,1
15 W,145 W,2
15 W,88 W,1
15 W,9 W,3
15 W,14.5 W,1
15 W,87 W,1
15 W,165 W,2
15 W,3 W,1
15 W,215 W,1
15 W,14 W,2
15 W,27.4 W,1
15 W,9.5 W,2
15 W,59.2 W,1
15 W,4.3 W,1
15 W,33 W,1
15 W,17 W,4
15 W,54.7 W,1
15 W,30 W,1
15 W,31 W,2
15 W,47 W,2
15 W,30.8 W,1
